kind	player	HOU-pt	HOU-gm	TOK6-u-p	TOK6-d-p	TOK6-u-g	TOK6-d-g	TOK4-u-p	TOK4-d-p	TOK4-u-g	TOK4-d-g	JOU-gm
TableKind.HAN4	5.5	-1414.0528128	261.983375203	0.938984839192	0.0610151608081	898.85840718	837.869758356	0.851070069957	0.148929930043	1231.84571679	860.662236865	82.719867276
TableKind.HAN4	5.6	-1417.1660582	280.681622044	0.96133207707	0.0386679229304	793.849433516	696.661626788	0.886299661765	0.113700338235	1134.81935544	727.124774535	80.3140281625
TableKind.HAN4	5.7	-1420.92143052	301.609610715	0.975620899584	0.0243791004161	704.830532359	577.451537294	0.911857384535	0.0881426154653	1047.59835023	610.64213762	78.0738829588
TableKind.HAN4	5.8	-1425.44547814	325.133184281	0.984651134409	0.0153488655907	630.851135817	478.106816027	0.930517855181	0.0694821448195	971.202226408	511.042492728	75.9834996184
TableKind.HAN4	5.9	-1430.89006222	351.692470949	0.990326266839	0.0096737331613	569.838623278	395.785367688	0.944321924632	0.0556780753681	905.020030066	426.809880289	74.0288549403
TableKind.HAN4	6.0	-1437.43801032	381.8197253	0.993887027215	0.00611297278461	519.478999316	327.69501251	0.954705767451	0.0452942325491	847.770519927	355.998624456	72.1975658987
TableKind.HAN4	6.1	-1445.31027903	416.162096973	0.99612314911	0.00387685089027	477.630450816	271.380651944	0.962659806374	0.0373401936257	798.021892048	296.669558654	70.4786638683
TableKind.HAN4	6.2	-1454.77509508	455.510854488	0.99753090598	0.00246909402004	442.477506706	224.78403988	0.968863274897	0.0311367251026	754.438981749	247.064251476	68.8624041518
TableKind.HAN4	6.3	-1466.15970306	500.839112918	0.998420258551	0.00157974144874	412.556494927	186.211874945	0.973783791984	0.0262162080162	715.879426381	205.652728076	67.3401046824
TableKind.HAN4	6.4	-1479.86556502	553.350827829	0.998984419935	0.0010155800651	386.724274885	154.277265352	0.97774654626	0.0222534537401	681.412758663	171.127550436	65.9040089367
TableKind.HAN4	6.5	-1496.3881522	614.54480064	0.999343903063	0.000656096937103	364.106905531	127.841600918	0.980980896896	0.0190191031044	650.303837245	142.379436751	64.5471690162
TableKind.TON4	5.5	-1403.82272985	396.583373764	0.980372341389	0.0196276586113	2505.03864284	2539.32712839	0.95530880068	0.0446911993195	3231.69803451	2608.38487429	123.907084745
TableKind.TON4	5.6	-1405.1198421	426.862319364	0.990461223061	0.00953877693895	1996.31792381	1944.87562655	0.971117851806	0.0288821481947	2702.00310301	2007.68753013	120.181926369
TableKind.TON4	5.7	-1406.82908664	461.253352439	0.99534885385	0.00465114614952	1632.62389963	1495.30713065	0.980340043049	0.0196599569509	2310.17095175	1548.50304547	116.727370813
TableKind.TON4	5.8	-1409.07352329	500.55565797	0.997717735006	0.00228226499372	1373.14387526	1151.96464384	0.985991042979	0.0140089570206	2020.03885454	1195.36112574	113.515446564
TableKind.TON4	5.9	-1412.01118231	545.763004343	0.998871463539	0.00112853646136	1185.9277408	887.183199235	0.989643515283	0.0103564847172	1802.08594439	921.848434909	110.521832745
TableKind.TON4	6.0	-1415.84484399	598.119701411	0.999437304884	0.000562695116464	1047.7216752	681.74115656	0.992126465751	0.00787353424895	1634.27490291	709.096337518	107.725295113
TableKind.TON4	6.1	-1420.83470661	659.195089149	0.99971703313	0.00028296687051	942.292702792	522.076166515	0.993889194328	0.0061108056719	1500.93626565	543.511238293	105.10722122
TableKind.TON4	6.2	-1427.31493574	730.983524346	0.999856478715	0.000143521285101	858.67596714	398.248032999	0.99518493072	0.00481506927971	1391.31896289	414.979399369	102.651235397
TableKind.TON4	6.3	-1435.71550582	816.039766775	0.999926584683	7.34153165256e-05	789.695160873	302.654657429	0.996163170872	0.0038368291281	1298.27511112	315.69119144	100.342878351
TableKind.TON4	6.4	-1446.59136566	917.663962728	0.999962129875	3.78701245139e-05	730.797249137	229.287482058	0.996916644441	0.0030833555587	1217.18450093	239.441516886	98.1693392897
TableKind.TON4	6.5	-1460.66189021	1040.15677006	0.999980303648	1.96963517232e-05	679.172122513	173.315593399	0.997505722013	0.00249427798734	1145.1235941	181.229789	96.119230996
